org_code,type,attendances,breaches,admissions
RE9,1,5131,414,1286
RE9,other,637,3,0
RVY,1,6715,931,1975
RVY,other,5198,9,0
RBN,1,8845,2268,3370
RBN,other,5415,11,0
RWJ,1,8186,1832,2465
RMP,1,7394,1176,1779
RTD,1,11357,746,2325
RTD,2,1734,51,25
RTD,other,4640,0,1
RFR,1,6606,979,1412
RM2,1,8437,872,2592
RTX,1,7663,1170,2043
RTX,other,1869,36,111
RWW,1,6918,836,2815
RWW,other,3699,7,0
RY7,other,5579,7,0
RBL,1,8007,1152,2387
RBL,other,2107,9,0
AJN,other,1782,0,0
RRF,1,7896,1224,1805
RCB,1,9370,2374,3427
RCB,other,7121,24,0
RTK,1,8769,987,2074
RTK,other,1465,0,0
Y02688,other,3398,0,0
NQT10,other,3240,0,0
RWX,other,5123,0,0
Y04538,other,2988,11,0
RXH,1,13053,2444,3578
RXH,2,1024,0,27
NLW,other,5034,56,0
RXQ,1,7163,1171,2717
RXQ,2,1274,0,451
RXQ,other,3570,14,0
Y00058,other,2489,14,0
NLT02,other,1134,0,0
RJ8,other,9387,50,7
RN7,1,8670,1416,2513
RN7,other,1662,0,0
RBD,1,3763,251,1322
RDY,other,5553,7,3
RVV,1,12700,3703,3176
RVV,other,5323,27,1374
RXC,1,9396,2063,2619
RDU,1,20345,1047,6258
R1J,other,5834,22,2
RTE,1,11697,1633,3608
RN3,1,7240,1822,2439
RN3,other,5276,23,0
RN5,1,9278,863,2244
RN5,other,1189,0,0
NDA57,other,697,0,0
R1F,1,3400,819,825
R1F,other,1384,0,0
RYY,other,9727,5,0
NR5,other,3590,5,0
RWF,1,12047,1534,3464
RWF,other,1923,2,0
RPA,1,9656,1949,1939
RVJ,1,7515,1761,2567
RBZ,1,3915,509,1193
RBZ,other,5008,0,0
L83087,other,138,0,0
RNU,other,2758,78,0
RTH,1,11639,3469,3266
RTH,2,1647,0,74
NLX02,other,611,0,0
RK9,1,8475,1074,2960
RK9,2,240,1,0
RD3,1,5627,649,1725
RHU,1,9512,2923,3168
RHU,2,856,2,0
RHU,other,1808,4,7
RPC,other,911,4,37
RHW,1,9255,721,2915
RHW,2,1320,11,5
REF,1,5975,1735,2538
REF,other,1625,18,28
RH8,1,8612,795,1950
RH8,other,706,0,0
RA2,1,5934,810,2001
RD1,1,6160,610,2181
